Employee_ID,Age,Department,Job_Role,Salary,Years_at_Company,Work_Hours,Job_Satisfaction,Attrition,Gender,Education_Level,Performance_Rating
1,25,Sales,Executive,30000,1,45,2,Yes,Male,Bachelor,2
2,32,HR,Manager,50000,5,40,4,No,Female,Master,4
3,28,IT,Developer,60000,3,50,3,No,Male,Bachelor,3
4,45,Finance,Analyst,55000,10,42,5,No,Female,Master,5
5,30,Sales,Executive,32000,2,48,2,Yes,Female,Bachelor,2
6,35,IT,Developer,65000,6,45,3,No,Male,Master,4
7,29,HR,Recruiter,40000,3,44,2,Yes,Female,Bachelor,2
8,50,Finance,Manager,70000,15,40,5,No,Male,Master,5
9,27,Sales,Executive,31000,1,50,1,Yes,Male,Bachelor,1
10,33,IT,Developer,62000,4,46,3,No,Female,Master,3
11,41,HR,Manager,52000,8,42,4,No,Male,Master,4
12,26,Sales,Executive,29000,1,47,2,Yes,Female,Bachelor,2
13,38,Finance,Analyst,58000,7,43,4,No,Male,Master,4
14,31,IT,Developer,61000,5,45,3,No,Female,Bachelor,3
15,28,HR,Recruiter,39000,2,46,2,Yes,Male,Bachelor,2
16,47,Finance,Manager,72000,12,41,5,No,Female,Master,5
17,36,Sales,Executive,33000,4,48,2,Yes,Male,Bachelor,2
18,34,IT,Developer,64000,6,44,3,No,Female,Master,3
19,42,HR,Manager,53000,9,42,4,No,Male,Master,4
20,29,Sales,Executive,30500,2,49,1,Yes,Female,Bachelor,1
